Symbol,Compression Ratio,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book
MRO,150.2916667,Energy,15.68,-32,1.2247398,-2.65,19.52,10.55,13875005314,2266000000,4.6578755,
MDT,150.2916667,Health Care,78.38,17.04,2.2618315,2.89,89.72,75.44,1.10E+11,9204000000,4.944542,2.14
NDAQ,150.2916667,Financials,75.21,17.78,1.9671283,4.32,83.29,65.98,12844304115,1212000000,3.2591083,2.25
TMK,150.2916667,Financials,80.52,17.02,0.7204611,4.5,93.595,73.53,9614412169,0,3.1079664,1.88
TRIP,150.2916667,Consumer Discretionary,40.05,58.04,0,0.81,53.29,29.5,5700998508,234000000,4.5925775,3.49
WU,150.2916667,Information Technology,18.81,10.17,3.5915854,0.51,22.21,18.39,8951609207,694600000,2.22677,12.65
CFG,150.3333333,Financials,42.19,16.04,1.9625335,3.27,48.23,31.51,22008050974,0,3.3917346,1.08
CSX,150.3333333,Industrials,50.47,21.94,1.5102888,6.07,60.04,45.41,47340511707,5003000000,4.216355,4.27
EBAY,150.3333333,Information Technology,41.02,24.86,0,-1.07,46.99,31.89,44216696399,2941000000,4.6720185,3.8
GPS,150.3333333,Consumer Discretionary,31.17,15.35,2.8203557,1.69,35.68,21.02,12684517721,1959000000,1.1289738,3.93
HIG,150.3333333,Financials,53.34,14.34,1.7901897,2.27,59.2,46.35,19926305632,0,1.3939538,1.15
HST,150.3333333,Real Estate,18.75,11.23,4.1131105,1.02,21.53,17.26,14394715334,1547000000,3.5549128,2.02
HBAN,150.3333333,Financials,15.1,15.41,2.8132992,1,16.53,12.14,16766497291,0,3.5112102,1.72
MAC,150.3333333,Real Estate,58.36,14.81,4.9177604,3.43,69.73,52.12,8473119166,503183000,11.394877,2.24
NBL,150.3333333,Energy,25.43,105.96,1.4771049,-2.32,39.6,22.985,13177325251,-518000000,4.6976447,1.44
PLD,150.3333333,Real Estate,58.33,20.76,2.931379,3.06,67.53,48.69,31953288000,2969194000,14.380373,2.11
WEC,150.3333333,Utilities,59.5,19.57,3.691948,3.79,70.09,56.63,18890296993,2736500000,2.4834197,2.1
WRK,150.3333333,Materials,60.93,23.26,2.6699784,2.77,71.55,49.23,16433340688,2262300000,1.075785,1.58
FMC,150.4166667,Materials,80.87,32.48,0.785995,1.56,98.7,56.53,11273961835,557800000,6.0089035,5.26
EQT,150.4583333,Energy,46.25,53.16,0.2518363,-2.69,67.84,47.13,12638828950,1518305000,6.4987307,2.15
BAC,150.5833333,Financials,29.74,16.34,1.536,1.55,32.67,22.07,3.21E+11,0,3.2011874,1.24
BBT,150.5833333,Financials,51.07,16.26,2.4526198,2.74,55.99,41.17,42087562920,0,3.4552107,1.55
CTL,150.5833333,Telecommunication Services,16.2,8.35,12.661196,1.16,27.61,13.161,18237196861,5577000000,1.4795984,1.39
DWDP,150.5833333,Materials,68.21,49.43,2.1529746,1.59,77.08,64.01,1.65E+11,5250000000,2.6922395,1.54
ES,150.5833333,Utilities,56.11,18.22,3.3397784,2.96,66.15,55.2,18027633617,2738713000,3.1134193,1.68
MYL,150.5833333,Health Care,39.25,8.35,0,0.93,47.82,29.39,21698849265,3113300000,2.5358944,1.63
NOV,150.5833333,Energy,32.64,-77.71,0.5873715,-6.4,41.895,29.9,12940096785,353000000,2.5209634,0.91
NLSN,150.5833333,Industrials,33.9,18.73,3.6208732,1.39,45.73,34.22,13377670080,1836000000,2.7288198,3.02
PGR,150.5833333,Financials,51.07,20.76,2.1061797,2.73,58.25,36.84,31062780000,0,1.1458876,3.25
SIG,150.5833333,Consumer Discretionary,49.38,6.65,2.4730754,7.03,77.94,46.09,3034275549,852700000,0.7564699,1.38
PPG,156.5833333,Materials,110.3,18.73,1.5771489,6.31,122.0697,99.57,29043337549,2585000000,1.9551051,4.83
DGX,156.6666667,Health Care,96.42,17.07,1.9884669,5.5,112.965,90.1,13578300000,1453000000,1.7709883,2.82
ALGN,159.2083333,Health Care,220.71,56.59,0,2.84,287.32,92.61,18788041378,380326000,13.138819,16.44
AGN,159.4583333,Health Care,164.2,10.65,1.643289,38.35,256.8,160.07,56668833898,-2888100000,4.820115,0.83
LRCX,159.5833333,Information Technology,162.23,16.29,1.1652974,9.22,219.7,113.1982,27967534829,2967218000,3.0405293,4.52
GS,159.6666667,Financials,246.35,12.44,1.1668612,8.61,273.79,209.62,96978500251,0,2.309415,1.25
AVGO,159.75,Information Technology,229.57,15.94,2.9488583,4.01,285.68,202.61,92791974933,7016000000,6.961893,4.4
LMT,159.8333333,Industrials,334.3,24.28,2.315954,6.83,361.79,256.4,98102120000,7115000000,1.8781451,45.55
MTD,159.875,Health Care,601,35.56,0,14.24,697.26,459.34,16420774443,666706000,8.372307,31.69
CMG,159.9166667,Consumer Discretionary,266.01,45.86,0,0.8,499,263,7685283970,401293000,2.5523853,6.11
ISRG,159.9166667,Health Care,381.87,48.58,0,5.67,452,233.10643,44866621303,1153700000,14.655261,9.48
