Symbol,Compression Ratio,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book
BSX,149.9583333,Health Care,25.2,20,0,0.07,29.93,23.29,36142506007,1726000000,4.055685,4.78
CF,149.9583333,Materials,37.46,-59.46,3.0395136,-1.2,43.98,25.04,9209106695,711000000,3.0044448,2.81
CSCO,149.9583333,Information Technology,38.77,17.87,2.8755577,1.91,42.98,30.36,1.99E+11,15447000000,5.484418,3.07
EMR,149.9583333,Industrials,66.4,25.74,2.813225,2.35,74.45,56.77,44040298425,2542000000,3.6707752,5.01
FISV,149.9583333,Information Technology,133.05,27.32,0,4.14,144.2,106.2,26918949723,1911000000,6.518713,11.54
IVZ,149.9583333,Financials,31.92,11.87,3.466826,2.74,38.43,29.36,13620847614,1606200000,2.6513786,1.62
LB,149.9583333,Consumer Discretionary,47.77,12.77,4.886988,3.98,63.1,35,13862042842,2329000000,1.7060977,1403.38
NCLH,149.9583333,Consumer Discretionary,56.01,15.35,0,2.78,61.48,46.96,13191507318,1529401000,3.2066104,2.35
PHM,149.9583333,Consumer Discretionary,28.67,12.86,1.2036108,1.44,35.21,21.06,8792572352,992811000,1.0341544,1.99
AMD,149.9166667,Information Technology,11.22,187,0,0.03,15.65,9.7,11191663795,339000000,2.1091955,21.47
MO,149.9166667,Consumer Staples,64.05,18.89,3.9526875,5.31,77.79,60.01,1.27E+11,10773000000,4.945682,10.32
CMS,149.9166667,Utilities,41.77,21.42,3.3918407,1.99,50.85,41.07,11873960824,2099000000,2.4711676,2.65
DOV,149.9166667,Industrials,96.2,23.87,1.8815053,5.15,109.06,75.51,15566645713,1513291000,1.986176,3.59
EQR,149.9166667,Real Estate,55.26,17.6,3.5437918,1.63,70.455,56.07,20925508143,1710686000,8.593619,2.09
EXC,149.9166667,Utilities,35.98,14.51,3.8174274,1.23,42.67,33.3,34734816899,8548000000,1.3933871,1.26
PKI,149.9166667,Health Care,72.06,24.68,0.3695394,2.64,84.49,52.63,8351767268,445658000,3.7116463,3.25
REG,149.9166667,Real Estate,55.58,15.27,3.6850338,1.43,72.05,56.66,9858367494,487636000,13.762162,1.51
VFC,149.9166667,Consumer Discretionary,78.75,25.9,2.2865665,2.55,82.95,48.05,31797645904,1624441000,3.7110944,7.89
HOLX,149.8333333,Health Care,38.8,19.21,0,2.64,46.8,35.76,11181493750,1561000000,4.80335,4
NWL,149.8333333,Consumer Discretionary,27.91,9.72,3.1228786,1.17,55.08,23.85,14438346000,2021400000,1.2810479,1.01
NWSA,149.8333333,Consumer Discretionary,15.65,43.47,1.24533,-1.28,17.29,12,9356906461,679000000,1.5518167,0.85
APA,149.7916667,Energy,37.73,-251.53,2.528445,-3.72,57.9,38.14,15066280977,3265000000,3.651366,2.22
FAST,149.7916667,Industrials,52.15,27.02,2.7798648,2.01,57.815,39.79,15311373377,1009600000,3.472977,7.39
HES,149.7916667,Energy,43,-9.33,2.2670596,-19.94,55.48,37.25,14016129999,-819000000,3.780475,1.08
PAYX,149.7916667,Information Technology,61.86,27.49,3.0892801,2.26,73.1,54.2,23253666810,1414900000,7.248487,11.77
SEE,149.7916667,Materials,42.62,21.31,1.4427412,2.46,50.62,41.22,8001938397,969700000,2.4700067,10.55
UDR,149.7916667,Real Estate,32.92,17.79,3.668639,1.08,40.71,33.31,9050154422,665141000,12.365829,3.27
XEL,149.7916667,Utilities,42.44,18.14,3.3914273,2.21,52.22,41.16,21559611927,3885828000,2.520456,1.94
HRB,149.75,Financials,25.19,12.29,3.7296038,1.92,31.8,19.85,5381433872,894754000,2.0188456,205.41
CMCSA,149.75,Consumer Discretionary,38.19,18.54,1.8929017,4.74,44,34.78,1.86E+11,28675000000,2.1797748,2.65
DISCK,149.75,Consumer Discretionary,21.58,10.37,0,1.96,29.18,14.99,8320262123,2100000000,1.7147918,1.43
D,149.75,Utilities,73.31,20.42,4.5281997,4.91,85.3,71.59,47543571860,6428000000,3.7954214,2.96
ETFC,149.75,Financials,48.48,22.14,0,2.15,56,32.25,13754977266,0,5.689136,2.15
FCX,149.75,Materials,17.16,14.67,1.1198208,1.24,20.25,11.05,25853969330,5347000000,1.6538345,3.66
HPE,149.75,Information Technology,15.04,11.57,1.9280206,0.21,24.88,12.815,24800859640,3683000000,1.4609766,1.06
M,149.75,Consumer Discretionary,24,7.67,6.098546,1.98,33.73,17.405,7541063495,2446000000,0.45503208,1.69
PCAR,149.75,Industrials,66.98,15.72,1.455816,4.75,79.69,61.93,24152102921,3619200000,1.28693,3.07
RSG,149.75,Industrials,62.72,26.13,2.1362228,1.77,69.4,57.53,21590903863,2734000000,2.8841186,2.83
FOXA,149.75,Consumer Discretionary,34.56,17.81,0.9983361,1.59,39.135,24.81,44027094922,5280000000,2.1080317,4.11
UAA,149.75,Consumer Discretionary,13.14,32.05,0,0.45,23.46,11.4,5856913571,399277000,1.602308,2.72
UA,149.75,Consumer Discretionary,11.95,29.15,0,0.45,21.805,10.36,5366628950,399277000,1.4738787,2.5
UNM,149.75,Financials,47.87,11.51,1.8189007,4.38,58.73,43.55,11256432318,0,0.9984924,1.19
ZTS,149.75,Health Care,71.51,32.8,0.68237203,1.65,80.13,52,35991109776,1734000000,9.280896,18.09
T,149.7083333,Telecommunication Services,35.57,12.14,5.4156513,4.76,42.7,32.55,2.27E+11,49653000000,1.4083152,1.8
BWA,149.7083333,Consumer Discretionary,51.94,14.15,1.2363636,0.55,58.22,37.54,11596117445,867900000,1.5831376,2.89
COG,149.7083333,Energy,23.01,60.55,1.0269576,-0.92,29.57,21.4,10808821635,404951000,8.636729,4.21
CDNS,149.7083333,Information Technology,36.82,34.09,0,0.74,46,29.01,10890625200,455607000,5.751737,10.98
CAG,149.7083333,Consumer Staples,35.49,18.2,2.3683476,1.46,41.68,32.16,14379717835,1281200000,1.8294994,3.86
DHI,149.7083333,Consumer Discretionary,44.55,16.32,1.0801469,2.73,53.32,29.3716,17390873686,1691000000,1.1931022,2.17
DISCA,149.7083333,Consumer Discretionary,22.87,11,0,1.96,30.25,15.99,8763756733,2100000000,1.804088,1.5
DUK,149.7083333,Utilities,74.32,16.7,4.7849464,3.12,91.8,72.93,52078185682,9895000000,2.9348857,1.27
ETN,149.7083333,Industrials,79.41,17.08,2.9404557,6.68,89.85,69.45,35961772000,4253000000,1.8161736,2.17
XOM,149.7083333,Energy,76.07,21.37,4.0031195,1.88,89.3,76.05,3.26E+11,39052000000,1.7701944,1.85
FLIR,149.7083333,Information Technology,46.46,25.53,1.2396694,1.21,52.88,33.75,6706992926,375267000,5.137961,3.52
