Day Trade,Start Week,End Week,Start Date,End Date,#Samples,Invested (USD),Cashed (USD),Cashed/Invested (%),Last Trade,Last Price (USD),Profit Exit Level (%),Loss Exit Level (%),#Stocks,WINDOW5,WINDOW20,WINDOW50
close,912,963,6/15/2015,6/10/2016,103270,-20675,20968.5,101.4195889,BUY + SELL NOW,137.13,115,70,50,7,21,56
close,1056,1083,3/19/2018,9/28/2018,56855,-14340,14318.5,99.85006974,BUY + SELL NOW,147.99,115,70,50,7,21,56
close,925,1036,9/14/2015,11/3/2017,221655,-47865.5,48941.5,102.2479657,BUY + SELL NOW,144.19,115,70,50,7,21,56
close,924,1008,9/8/2015,4/21/2017,167069,-41062,41762,101.7047392,SELL,149.32,115,70,50,7,21,56
close,927,951,9/28/2015,3/18/2016,49264,-12620,12663,100.340729,BUY + SELL NOW,130.9,115,70,50,7,21,56
close,1045,1096,1/2/2018,12/31/2018,107001,-29402.5,28541,97.06997704,SELL,113.01,115,70,50,7,21,56
close,904,1085,4/20/2015,12/31/2018,363791,-65276.5,64601,98.96517123,SELL,113.01,115,70,50,7,21,56
close,918,966,7/27/2015,7/1/2016,97208,-13074.5,13628.5,104.2372557,BUY + SELL NOW,136.84,115,70,50,7,21,56
close,996,1012,1/23/2017,5/19/2017,34363,-8011.5,7971.5,99.50071772,SELL,141.3,115,70,50,7,21,56
close,933,1028,11/9/2015,9/8/2017,188153,-34120,34931.5,102.3783705,SELL,133.68,115,70,50,7,21,56
close,920,994,8/10/2015,1/13/2017,147562,-27945,28934.5,103.5408839,BUY + SELL NOW,153.25,115,70,50,7,21,56
close,961,966,5/23/2016,7/1/2016,11707,-6652.5,6842,102.8485532,BUY + SELL NOW,136.84,115,70,50,7,21,56
close,951,972,3/14/2016,8/12/2016,43692,-13640,14772.5,108.3027859,BUY + SELL NOW,147.55,115,70,50,7,21,56
close,999,1029,2/13/2017,9/15/2017,61281,-8276,8111,98.00628323,SELL,136.08,115,70,50,7,21,56
close,934,1023,11/16/2015,8/4/2017,176445,-33671.5,34822.5,103.4183211,SELL,134.71,115,70,50,7,21,56
close,936,985,11/30/2015,11/11/2016,98684,-26735,27172.5,101.6364316,SELL,147.07,115,70,50,7,21,56
close,899,1064,3/16/2015,12/31/2018,331396,-64820.5,65790,101.4956688,SELL,113.01,115,70,50,7,21,56
close,931,980,10/26/2015,10/7/2016,97936,-20538,21262,103.5251729,BUY + SELL NOW,142.22,115,70,50,7,21,56
close,1070,1073,6/25/2018,7/20/2018,8082,-6902.5,7217.5,104.5635639,BUY + SELL NOW,144.35,115,70,50,7,21,56
close,964,1075,6/13/2016,12/31/2018,224418,-58355,56735,97.22388827,SELL,113.01,115,70,50,7,21,56
close,901,1028,3/30/2015,9/8/2017,252834,-42654,43237.5,101.3679842,SELL,133.68,115,70,50,7,21,56
close,920,971,8/10/2015,8/5/2016,103031,-13349.5,14536,108.8879733,BUY + SELL NOW,146.38,115,70,50,7,21,56
close,962,979,5/31/2016,9/30/2016,35087,-14001.5,13947.5,99.61432704,SELL,144.21,115,70,50,7,21,56
close,906,982,5/4/2015,10/21/2016,152699,-20560,21272,103.463035,SELL,136.36,115,70,50,7,21,56
close,1036,1086,10/30/2017,12/31/2018,104318,-29382,28846,98.17575386,SELL,113.01,115,70,50,7,21,56
close,967,980,7/5/2016,10/7/2016,27365,-14026,14152.5,100.9018965,SELL,142.22,115,70,50,7,21,56
close,1045,1060,1/2/2018,12/31/2018,33797,-15167.5,14814.5,97.67265535,SELL,113.01,115,70,50,7,21,56
close,893,915,2/2/2015,7/10/2015,45273,-6741.5,7131.5,105.7850627,SELL,144.21,115,70,50,7,21,56
close,929,1001,10/12/2015,3/3/2017,143162,-27945,29585.5,105.8704598,BUY + SELL NOW,166.27,115,70,50,7,21,56
close,928,987,10/5/2015,11/25/2016,118197,-34466,34956,101.4216909,BUY + SELL NOW,149.32,115,70,50,7,21,56
close,895,896,2/17/2015,2/27/2015,3718,-6945.5,6935.5,99.85602188,BUY + SELL NOW,138.71,115,70,50,7,21,56
close,901,989,3/30/2015,12/9/2016,176269,-42654,42970.5,100.7420172,BUY + SELL NOW,151.76,115,70,50,7,21,56
close,993,1078,1/3/2017,12/31/2018,173614,-37595.5,36090.5,95.99686133,SELL,113.01,115,70,50,7,21,56
close,942,944,1/11/2016,1/29/2016,6035,-5897,5745.5,97.43089707,SELL,109.53,115,70,50,7,21,56
close,904,1090,4/20/2015,12/31/2018,375548,-65276.5,65758,100.7376315,SELL,113.01,115,70,50,7,21,56
close,1018,1074,6/26/2017,12/31/2018,115998,-29878,28171.5,94.28843965,SELL,113.01,115,70,50,7,21,56
close,991,991,12/19/2016,12/23/2016,1985,-7657.5,7624,99.5625204,BUY + SELL NOW,152.48,115,70,50,7,21,56
close,941,1031,1/4/2016,9/29/2017,179609,-33073,34730.5,105.0116409,SELL,136.78,115,70,50,7,21,56
close,1045,1074,1/2/2018,12/31/2018,62238,-22261.5,20465,91.9300137,SELL,113.01,115,70,50,7,21,56
close,892,1089,1/26/2015,12/31/2018,397178,-72061,72596.5,100.7431204,SELL,113.01,115,70,50,7,21,56
close,922,1006,8/24/2015,4/7/2017,167325,-54006,54532,100.9739659,BUY + SELL NOW,158.65,115,70,50,7,21,56
close,972,1060,8/8/2016,12/31/2018,177950,-45803.5,46058.5,100.556726,SELL,113.01,115,70,50,7,21,56
close,1021,1060,7/17/2017,12/31/2018,82163,-29974,29497.5,98.41028892,SELL,113.01,115,70,50,7,21,56
close,915,1029,7/6/2015,9/15/2017,227481,-42205,43131.5,102.1952375,SELL,136.08,115,70,50,7,21,56
close,1030,1055,9/18/2017,12/31/2018,53573,-21746.5,26152,120.2584324,SELL,113.01,115,70,50,7,21,56
close,977,1027,9/12/2016,9/1/2017,100728,-7385,7855,106.3642519,SELL,135.27,115,70,50,7,21,56
close,893,904,2/2/2015,4/24/2015,23830,-6741.5,7298,108.2548394,BUY + SELL NOW,145.96,115,70,50,7,21,56
close,916,1069,7/13/2015,12/31/2018,307840,-58092.5,58672,100.997547,SELL,113.01,115,70,50,7,21,56
close,1027,1043,8/28/2017,12/22/2017,34277,-6843.5,7230.5,105.6550011,BUY + SELL NOW,144.61,115,70,50,7,21,56
close,915,1078,7/6/2015,12/31/2018,328155,-72069.5,71303,98.93644329,SELL,113.01,115,70,50,7,21,56
close,913,997,6/22/2015,2/3/2017,167801,-42696.5,43508.5,101.9017952,BUY + SELL NOW,160.53,115,70,50,7,21,56
close,1069,1092,6/18/2018,11/30/2018,49623,-7207,6560,91.0226169,SELL,123.25,115,70,50,7,21,56
close,901,942,3/30/2015,1/15/2016,83429,-14709,14110.5,95.93106261,SELL,114.91,115,70,50,7,21,56
close,1038,1082,11/13/2017,12/31/2018,91423,-21923,20128.5,91.81453268,SELL,113.01,115,70,50,7,21,56
close,1071,1087,7/2/2018,10/26/2018,34833,-6799.5,6560,96.47768218,SELL,122.74,115,70,50,7,21,56
close,941,949,1/4/2016,3/4/2016,18002,-11969.5,12115.5,101.2197669,BUY + SELL NOW,123.46,115,70,50,7,21,56
close,1000,1030,2/21/2017,9/22/2017,61254,-8318,8231.5,98.96008656,SELL,136.16,115,70,50,7,21,56
close,920,968,8/10/2015,7/15/2016,96805,-13349.5,14393.5,107.8205176,BUY + SELL NOW,143.53,115,70,50,7,21,56
close,947,1015,2/16/2016,6/9/2017,135878,-19535,21363.5,109.3601229,SELL,142.92,115,70,50,7,21,56
close,922,1066,8/24/2015,12/31/2018,288934,-76776.5,76975.5,100.2591939,SELL,113.01,115,70,50,7,21,56
close,897,1027,3/2/2015,9/1/2017,259382,-42376,43268,102.1049651,SELL,135.27,115,70,50,7,21,56
close,906,1010,5/4/2015,5/5/2017,207617,-27945,29127,104.229737,SELL,144.08,115,70,50,7,21,56
close,922,995,8/24/2015,1/20/2017,145338,-54006,54370,100.6739992,BUY + SELL NOW,155.41,115,70,50,7,21,56
close,940,980,12/28/2015,10/7/2016,80809,-26520,27151.5,102.3812217,BUY + SELL NOW,142.22,115,70,50,7,21,56
close,1047,1061,1/16/2018,4/27/2018,31620,-8043,7680,95.48675867,SELL,140.66,115,70,50,7,21,56
close,901,936,3/30/2015,12/4/2015,72208,-14709,14110.5,95.93106261,SELL,123.69,115,70,50,7,21,56
close,894,919,2/9/2015,8/7/2015,51832,-14165,14141,99.8305683,SELL,135.73,115,70,50,7,21,56
close,946,1034,2/8/2016,10/20/2017,176109,-26765.5,29318.5,109.5383983,BUY + SELL NOW,152.05,115,70,50,7,21,56
close,961,1042,5/23/2016,12/15/2017,162069,-28202.5,29114.5,103.2337559,BUY + SELL NOW,146.26,115,70,50,7,21,56
close,959,1075,5/9/2016,12/31/2018,234019,-51170,49973,97.66073871,SELL,113.01,115,70,50,7,21,56
close,907,992,5/11/2015,12/30/2016,169820,-35459,36246,102.2194647,BUY + SELL NOW,151.69,115,70,50,7,21,56
close,1009,1087,4/24/2017,12/31/2018,160731,-29878,29328.5,98.16085414,SELL,113.01,115,70,50,7,21,56
close,930,1012,10/19/2015,5/19/2017,163697,-27945,29127,104.229737,SELL,141.3,115,70,50,7,21,56
close,966,1021,6/27/2016,7/21/2017,110064,-14004,14810.5,105.7590688,SELL,137.05,115,70,50,7,21,56
close,1066,1091,5/29/2018,11/23/2018,53342,-14036.5,13308,94.80995975,SELL,117.22,115,70,50,7,21,56
close,962,1089,5/31/2016,12/31/2018,257725,-58401.5,58227.5,99.70206245,SELL,113.01,115,70,50,7,21,56
close,902,970,4/6/2015,7/29/2016,137389,-27792,28550,102.7274036,BUY + SELL NOW,144.45,115,70,50,7,21,56
close,1032,1042,10/2/2017,12/15/2017,22601,-6892.5,7313,106.1008342,BUY + SELL NOW,146.26,115,70,50,7,21,56
close,989,1087,12/5/2016,12/31/2018,199902,-37386,37183.5,99.45835339,SELL,113.01,115,70,50,7,21,56
close,1003,1041,3/13/2017,12/8/2017,78156,-6954.5,7330,105.3993817,BUY + SELL NOW,146.6,115,70,50,7,21,56
close,995,1071,1/17/2017,12/31/2018,155289,-30443,30440,99.99014552,SELL,113.01,115,70,50,7,21,56
close,933,942,11/9/2015,1/15/2016,18748,-6197,5942.5,95.89317412,SELL,114.91,115,70,50,7,21,56
close,940,1046,12/28/2015,12/31/2018,211819,-40859.5,40529,99.19113058,BUY + SELL NOW,113.01,115,70,50,7,21,56
close,942,1026,1/11/2016,8/25/2017,167892,-33349.5,34540,103.5697687,SELL,134.93,115,70,50,7,21,56
close,981,1068,10/10/2016,12/31/2018,176653,-30155.5,30376,100.7312099,SELL,113.01,115,70,50,7,21,56
close,968,1011,7/11/2016,5/12/2017,87017,-14411,14902,103.4071196,SELL,140.19,115,70,50,7,21,56
close,912,1072,6/15/2015,12/31/2018,321143,-65217.5,65760,100.8318319,SELL,113.01,115,70,50,7,21,56
close,893,1078,2/2/2015,12/31/2018,371404,-71928,71440.5,99.32223891,SELL,113.01,115,70,50,7,21,56
